PLAYER,POS,Height,Weight,Wingspan,Standing Reach,Hand Length,Hand Width,Lane Agility Time,Shuttle Run,Three Quarter Sprint,Standing Vertical Leap,Max Vertical Leap,PPG,Free Throw %,Three Point %,Two Point %,EFG
Jaylen Wells,SF,78.5,206.2,79.25,103.5,8.25,9.25,11.28,3.03,3.08,27.5,36,12.6,81.4,41.7,45.7,54.5
Cody Williams,SF,78.5,178.4,85,103,8.25,9,11.17,2.93,3.06,31,35.5,11.9,71.4,41.5,58.8,59.5
Greg Brown III,PF,,,,,,,10.98,2.98,3.19,33.5,39,9.3,70.8,,,
Scottie Barnes,SF,,,,,,,10.88,2.99,3.15,36,39.5,10.3,62.1,,,
Corey Kispert,SF,,,,,,,10.91,2.99,3.12,30,37.5,18.6,87.8,,,
Aaron Wiggins,SG,,,,,,,11.2,3,3.04,29.5,36,14.5,77.2,,,
AJ Lawson,SG,,,,,,,11,3.01,2.98,33,41,16.6,70,,,
Scottie Lewis,SF,,,,,,,10.45,3.03,2.98,34,42,7.9,67.3,,,
Ziaire Williams,SF,,,,,,,10.69,3.04,3.12,34,39.5,20.5,78.6,,,
Yves Pons,PF,,,,,,,10.89,3.05,3.1,36,42.5,8.7,78.9,,,
Duane Washington Jr.,SG,,,,,,,11.5,3.06,3.17,29.5,35.5,16.4,83.5,,,
Sam Hauser,SF,,,,,,,11.14,3.07,3.34,28.5,34.5,16,89.6,,,
Johnny Juzang,SG,,,,,,,11.13,3.08,3.13,31,36.5,15.6,83.5,,,
Jason Preston,PG,,,,,,,10.82,3.08,3.13,30.5,38.5,15.7,59.6,,,
JT Thor,PF,,,,,,,12.19,3.08,3.06,31.5,35,9.4,74.1,,,
Ochai Agbaji,SG,,,,,,,10.88,3.1,3.13,32,41.5,14.1,68.9,,,
Marcus Bagley,SF,,,,,,,12.26,3.1,3.17,32.5,38.5,10.8,71.9,,,
Jaden Springer,SG,,,,,,,11.46,3.1,3.13,34.5,41.5,12.5,81,,,
DJ Steward,PG,,,,,,,11.14,3.1,3.08,34.5,38.5,13,81.1,,,
Terrence Shannon Jr.,SF,,,,,,,11.51,3.12,3.21,32.5,39.5,12.9,75.6,,,
McKinley Wright IV,PG,,,,,,,10.76,3.12,3.08,31.5,38,15.2,84.4,,,
Miles McBride,PG,,,,,,,11.08,3.13,3.1,31,38.5,15.9,81.3,,,
Justin Champagnie,PF,,,,,,,11.94,3.14,3.34,27,35,18,71.1,,,
Jeremiah Robinson-Earl,PF,,,,,,,11.64,3.15,3.29,27,32,15.7,71.4,,,
Nah'Shon Hyland,SG,,,,,,,10.53,3.17,3.1,26.5,34,19.5,86.2,,,
Herbert Jones,SF,,,,,,,11.02,3.17,3.25,28.5,36.5,11.2,71.3,,,
John Petty Jr.,SG,,,,,,,11.51,3.17,3.35,27.5,34,12.6,73.4,,,
Aaron Henry,SF,,,,,,,11.68,3.18,3.07,29,35,15.4,76.2,,,
Joe Wieskamp,SF,,,,,,,10.7,3.18,3.04,30,42,14.8,67.7,,,
David Duke Jr.,SG,,,,,,,11.21,3.19,3.08,30,39,16.8,79.2,,,
Austin Reaves,SG,,,,,,,10.94,3.19,3.07,25,35,18.3,86.5,,,
Julian Champagnie,SF,,,,,,,12.38,3.2,3.2,26,32,19.8,88.7,,,
David Johnson,SG,,,,,,,12.02,3.2,3.03,33,39,12.6,70,,,
Keon Johnson,SG,,,,,,,11.45,3.2,3,41.5,48,11.3,70.3,,,
Carlik Jones,PG,,,,,,,10.96,3.23,3.16,31.5,36,16.8,81.5,,,
